primary_category,contract_count,avg_price,median_price,min_price,max_price,std_price,cv,price_range,range_ratio,rank
ITシステム保守・運用,17,1034603.7647058824,138006.0,8886,7928827,2346923.707394334,226.84,7919941,765.5,1
ITシステム開発,6,1884863.6666666667,167731.5,25889,8982676,3552508.0997664547,188.48,8956787,475.2,2
業務委託（IT以外）,3,388718.6666666667,146616.0,54193,965347,501508.4035530545,129.02,911154,234.4,3
ITインフラ,5,213339.4,124812.0,19549,661937,260411.8044641986,122.06,642388,301.11,4
コンサルティング,1,12573.0,12573.0,12573,12573,0.0,0.0,0,0.0,5
マーケティング支援,1,55573.0,55573.0,55573,55573,0.0,0.0,0,0.0,6
